episode,rating,votes
857.0,9.0,2698.0
858.0,7.9,1299.0
859.0,7.5,979.0
860.0,7.9,1111.0
861.0,7.7,1003.0
862.0,9.1,2974.0
863.0,8.2,1214.0
864.0,9.0,2684.0
865.0,8.6,1848.0
866.0,8.1,1335.0
867.0,8.6,2016.0
868.0,9.5,5050.0
869.0,9.3,3579.0
870.0,9.7,21685.0
871.0,9.5,10068.0
872.0,8.9,2665.0
873.0,9.0,2843.0
874.0,8.6,1944.0
875.0,8.6,1967.0
876.0,8.9,2688.0
877.0,9.4,4736.0
878.0,8.7,2217.0
879.0,7.7,1013.0
880.0,7.7,1008.0
881.0,6.3,1148.0
882.0,6.5,1039.0
883.0,6.6,1021.0
884.0,6.7,1040.0
885.0,7.4,1175.0
886.0,7.3,1050.0
887.0,8.2,1740.0
888.0,7.7,1061.0
889.0,7.6,1087.0
890.0,7.3,1087.0
891.0,8.6,2248.0
892.0,9.3,4886.0
893.0,8.9,2992.0
894.0,9.1,3099.0
895.0,5.8,935.0
896.0,5.7,945.0
897.0,8.8,2673.0
898.0,8.6,2072.0
899.0,9.1,3268.0
900.0,8.6,2020.0
901.0,7.6,1234.0
902.0,7.5,1204.0
903.0,7.1,1164.0
904.0,7.0,1118.0
905.0,8.5,1958.0
906.0,8.6,1948.0
907.0,6.0,948.0
908.0,8.5,1995.0
909.0,9.0,2834.0
910.0,8.9,2733.0
911.0,8.2,1727.0
912.0,9.2,3789.0
913.0,9.3,3740.0
914.0,9.6,9942.0
915.0,9.6,8226.0
916.0,8.9,2905.0
917.0,9.0,3303.0
918.0,8.0,1665.0
919.0,8.2,1686.0
920.0,7.5,1347.0
921.0,6.9,1368.0
922.0,8.0,1813.0
923.0,8.1,1778.0
924.0,8.9,2953.0
925.0,9.0,3065.0
926.0,7.7,1316.0
927.0,7.5,1167.0
928.0,7.5,1155.0
929.0,7.4,1150.0
930.0,7.6,1223.0
931.0,7.5,1160.0
932.0,7.9,1356.0
933.0,8.9,3031.0
934.0,9.4,4703.0
935.0,8.1,1438.0
936.0,7.9,1353.0
937.0,7.7,1301.0
938.0,7.6,1172.0
939.0,8.8,2684.0
940.0,9.4,4669.0
941.0,9.2,3162.0
942.0,8.9,2830.0
943.0,8.6,2059.0
944.0,7.8,1382.0
945.0,8.6,2159.0
946.0,7.7,1344.0
947.0,7.6,1328.0
948.0,7.7,1361.0
949.0,9.1,3182.0
950.0,8.9,2980.0
951.0,8.2,1956.0
952.0,8.7,2267.0
953.0,8.6,2354.0
954.0,8.5,2237.0
955.0,8.2,2124.0
956.0,9.0,3478.0
957.0,9.6,13445.0
958.0,9.6,10343.0
959.0,9.0,5194.0
960.0,8.9,5472.0
961.0,8.9,5010.0
962.0,9.2,5557.0
963.0,9.4,6914.0
964.0,9.2,5322.0
965.0,9.6,14469.0
966.0,9.5,8250.0
967.0,9.5,7774.0
968.0,9.6,32147.0
969.0,9.4,6876.0
970.0,9.1,4831.0
971.0,9.2,4814.0
972.0,9.5,8609.0
973.0,9.4,5923.0
974.0,9.7,14853.0
975.0,9.4,5670.0
976.0,9.2,4851.0
977.0,9.5,7061.0
978.0,9.5,7473.0
979.0,9.0,4465.0
980.0,9.1,4253.0
981.0,9.1,4583.0
982.0,9.6,18671.0
983.0,8.4,3105.0
984.0,7.5,2549.0
985.0,7.8,2348.0
986.0,7.6,2215.0
987.0,8.0,2465.0
988.0,8.8,3480.0
989.0,8.2,2501.0
990.0,8.9,3557.0
991.0,7.9,2418.0
992.0,8.9,3624.0
993.0,7.8,2291.0
994.0,9.0,4144.0
995.0,9.6,8361.0
996.0,9.2,4164.0
997.0,8.9,3755.0
998.0,8.9,3735.0
999.0,8.2,2676.0
1000.0,9.5,8128.0
1001.0,8.9,4174.0
1002.0,7.7,2654.0
1003.0,8.3,3420.0
1004.0,8.8,4875.0
1005.0,6.7,6301.0
1006.0,6.8,5254.0
1007.0,6.6,4031.0
1008.0,7.3,3565.0
1009.0,7.1,3142.0
1010.0,8.1,2888.0
1011.0,7.7,2470.0
1012.0,7.6,2408.0
1013.0,8.9,3926.0
1014.0,8.4,3315.0
1015.0,9.7,88003.0
1016.0,9.3,6535.0
1017.0,9.6,22492.0
1018.0,9.0,4625.0
1019.0,7.7,2091.0
1020.0,7.6,2182.0
1021.0,7.7,2097.0
1022.0,7.8,1843.0
1023.0,7.5,1760.0
1024.0,7.7,1850.0
1025.0,9.0,3983.0
1026.0,9.5,6569.0
1027.0,9.6,7389.0
1028.0,9.7,11020.0
1029.0,7.0,1707.0
1030.0,7.5,1616.0
1031.0,7.8,1794.0
1032.0,7.6,1725.0
1033.0,9.6,8830.0
1034.0,7.7,1685.0
1035.0,7.7,1690.0
1036.0,9.0,3757.0
1037.0,7.3,1626.0
1038.0,8.3,2119.0
1039.0,7.7,1773.0
1040.0,8.4,2061.0
1041.0,7.2,1648.0
1042.0,7.1,1754.0
1043.0,8.1,1948.0
1044.0,9.4,5008.0
1045.0,9.1,3768.0
1046.0,9.4,8987.0
1047.0,7.8,3930.0
1048.0,9.1,6463.0
1049.0,9.4,8809.0
1050.0,8.2,3700.0
1051.0,9.2,6598.0
1052.0,8.1,3360.0
1053.0,8.0,3953.0
1054.0,8.9,3806.0
1055.0,7.4,3115.0
1056.0,8.8,3795.0
1057.0,8.6,3777.0
1058.0,7.6,3129.0
1059.0,8.3,3929.0
1060.0,9.2,7749.0
1061.0,9.6,32536.0
1062.0,9.7,102327.0
1063.0,8.2,5118.0
1064.0,8.8,5341.0
1065.0,8.4,4820.0
1066.0,9.6,17655.0
1067.0,9.3,11634.0
1068.0,8.9,9600.0
1069.0,9.3,13594.0
1070.0,9.3,24901.0
1071.0,9.2,75263.0
1072.0,9.4,33377.0
1073.0,7.9,13556.0
1074.0,9.5,58074.0
1075.0,9.0,18012.0
1076.0,9.5,24637.0
1077.0,8.6,6015.0
1078.0,8.7,4462.0
1079.0,8.4,3873.0
