episodio,fecha_emision,guion,arte,animacion,direccion,tv_rating,rank
848,5 de agosto del 2018,Tomohiro Nakayama,Miho Shiraishi,Kimitaka ItōEisaku Inoue,Hiroyuki Satō,5.4%,6
849,12 de agosto del 2018,Shōji Yonemura,Ryūji Yoshiike,Shūichi Itō,Katsumi Tokoro,5.2%,4
850,19 de agosto del 2018,Atsuhiro Tomioka,Miho Shiraishi,Masayuki Takagi,Ryōta Nakamura,6.1%,6
851,26 de agosto del 2018,Jin Tanaka,Yū Saitō,Toshio Deguchi,Kōhei Kureta,4.3%,7
852,2 de septiembre del 2018,Shōji Yonemura,Miho Shiraishi,Kenji YokoyamaFukumoto Yasuko,Aya Komaki,5.0%,7
853,16 de septiembre del 2018,Kisa Miura,Ryūji Yoshiike,Shigefumi Shingaki,Yoshihiro Ueda,5.0%,6
854,23 de septiembre del 2018,Tomohiro Nakayama,Miho Shiraishi,Masahiro Shimanuki,Satoshi Itō,4.4%,4
855,30 de septiembre del 2018,Atsuhiro Tomioka,Yū Saitō,Kimitaka ItōEisaku Inoue,Yusuke Suzuki,4.5%,5
856,7 de octubre del 2018,Jin Tanaka,Miho Shiraishi,Masahiro Kitazaki,Toshinori Fukazawa,5.0%,4
857,14 de octubre del 2018,Shōji Yonemura,Ryūji Yoshiike,Shūichi Itō,Yasunori Koyama,5.5%,5
858,21 de octubre del 2018,Kisa Miura,Miho Shiraishi,Kenji YokoyamaFukumoto Yasuko,Takahiro Imamura,5.3%,6
859,28 de octubre del 2018,Tomohiro Nakayama,Yū Saitō,Toshio Deguchi,Yusuke Suzuki,5.8%,5
860,4 de noviembre del 2018,Atsuhiro Tomioka,Miho Shiraishi,Yūsuke Isōchi,Aya Komaki,6.6%,6
861,11 de noviembre del 2018,Jin Tanaka,Ryūji Yoshiike,Shigefumi Shingaki,Katsumi Tokoro,5.0%,6
862,18 de noviembre del 2018,Shōji Yonemura,Miho Shiraishi,Masahiro ShimanukiMidori Matsuda,Hiroyuki Satō,5.6%,6
863,25 de noviembre del 2018,Kisa Miura,Yū Saitō,Masayuki Takagi,Yoshihiro Ueda,4.9%,6
864,9 de diciembre del 2018,Tomohiro Nakayama,Miho Shiraishi,Masahiro Kitazaki,Yutaka Nakashima,4.9%,6
865,16 de diciembre del 2018,Jin Tanaka,Ryūji Yoshiike,Kenji YokoyamaFukumoto Yasuko,Yusuke Suzuki,4.9%,6
866,23 de diciembre del 2018,Shōji Yonemura,Miho Shiraishi,Toshio Deguchiv,Yoshihiro Ueda,5.7%,3
867,6 de enero del 2019,Kisa Miura,Yū Saitō,Kimitaka ItōEisaku Inoue,Masahiro Hosoda,4.7%,4
868,13 de enero del 2019,Tomohiro Nakayama,Miho Shiraishi,Shūichi Itō,Aya Komaki,5.0%,4
869,20 de enero del 2019,Jin Tanaka,Ryūji Yoshiike,Kazuya HisadaYūsuke Isōchi,Katsumi Tokoro,6.0%,6
870,27 de enero del 2019,Shōji Yonemura,Miho Shiraishi,Masahiro Shimanuki,Kōhei Kureta,5.2%,7
871,3 de febrero del 2019,Tomohiro Nakayama,Yū Saitō,Shigefumi Shingaki,Yutaka Nakashima,5.6%,4
872,10 de febrero del 2019,Jin Tanaka,Miho Shiraishi,Masahiro Kitazaki,Yoshihiro Ueda,4.5%,7
873,17 de febrero del 2019,Shōji Yonemura,Ryūji Yoshiike,Kenji Yokoyama,Satoshi Itō,4.7%,6
874,24 de febrero del 2019,Tomohiro Nakayama,Miho Shiraishi,Masayuki Takagi,Yoshihiro Ueda,5.5%,6
875,3 de marzo del 2019,Jin Tanaka,Yū Saitō,Toshio Deguchi,Aya Komaki,5.7%,5
876,17 de marzo del 2019,Tomohiro Nakayama,Miho Shiraishi,Shūichi Itō,Masahiro Hosoda,5.4%,6
877,24 de marzo del 2019,Shōji Yonemura,Ryūji Yoshiike,Yūsuke Isōchi,Toshinori Fukuzawa,5.0%,4
878,31 de marzo del 2019,Shōji Yonemura,Miho Shiraishi,Eisaku InoueKimitaka Itō,Yutaka Nakajima,5.3%,4
879,7 de abril del 2019,Jin Tanaka,Yū Saitō,Shigefumi Shingaki,Yoshihiro Ueda,5.7%,6
880,14 de abril del 2019,Tomohiro Nakayama,Miho Shiraishi,Masahiro Kitazaki,Hiroyuki Satō,5.9%,4
881,21 de abril del 2019,Atsuhiro Tomioka,Ryūji Yoshiike,Kazuya Hisada,Yūsuke Suzuki,5.2%,7
882,28 de abril del 2019,Atsuhiro Tomioka,Miho Shiraishi,Toshio Deguchi,Satoshi Itō,5.1%,6
883,5 de mayo del 2019,Shōji Yonemura,Yū Saitō,Shūichi Itō,Katsumi Tokoro,4.1%,4
884,12 de mayo del 2019,Tomohiro Nakayama,Miho Shiraishi,Eisaku InoueKimitaka Itō,Yutaka Nakashima,4.5%,6
885,19 de mayo del 2019,Jin Tanaka,Ryūji Yoshiike,Kazuya HisadaMasahiro Shimanuki,Yoshihiro Ueda,5.0%,6
886,26 de mayo del 2019,Atsuhiro Tomioka,Miho Shiraishi,Kenji Yokoyama,Masahiro Hosoda,5.1%,4
887,2 de junio del 2019,Shōji Yonemura,Yū Saitō,Masahiro Kitazaki,Yutaka Nakashima,6%,5.4
888,9 de junio del 2019,Tomohiro Nakayama,Miho Shiraishi,Shigefumi Shingaki,Katsumi Tokoro,5.6%,6
889,16 de junio del 2019,Jin Tanaka,Ryūji Yoshiike,Toshio Deguchi,Yoshihiro Ueda,5.4%,6
890,23 de junio del 2019,Atsuhiro Tomioka,Yū Saitō,Kenji YokoyamaToshio Deguchi,Yūsuke Suzuki,6.5%,6
891,30 de junio del 2019,Tomohiro Nakayama,Miho Shiraishi,Kazuya Hisada,Toshinori Fukazawa,6.3%,4
892,7 de julio del 2019,Shōji Yonemura,Sadaaki HonmaToshinori Īno,Midori Matsuda,Tatsuya Nagamine,5.2%,5
893,14 de julio del 2019,Atsuhiro Tomioka,Sadaaki HonmaMidori Tanaka,Shūichi Itō,Kōhei Kureta,5.3%,4
894,21 de julio del 2019,Jin Tanaka,Sadaaki HonmaGuo Wei Huang,Yūsuke IsōchiYukiko Nakatani,Aya Komaki,6.0%,5
895,28 de julio del 2019,Atsuhiro Tomioka,Ryūji Yoshiike,Masahiro Kitazaki,Yutaka Nakashima,4.7%,5
896,4 de agosto del 2019,Atsuhiro Tomioka,Miho Shiraishi,Shigefumi Shingaki,Hiroyuki Satō,4.2%,6
897,11 de agosto del 2019,Tomohiro Nakayama,Toshinori Īno,Eisaku InoueKimitaka Itō,Satoshi Itō,5.2%,6
898,18 de agosto del 2019,Shinzō Fujita,Yū SaitōNatsuko Tosugi,Masahiro Shimanuki,Yasunori Koyama,4.2%,4
899,25 de agosto del 2019,Akiko Inoue,Toshinori Īno,Toshio Deguchi,Yūsuke Suzuki,4.6%,6
900,1 de septiembre del 2019,Shōji Yonemura,Guo Wei Huang,Kenji Yokoyama,Tasuku Shimaya,6.2%,6
901,8 de septiembre del 2019,Jin Tanaka,Guo Wei HuangMidori Tanaka,Kazuya Hisada,Satoshi Itō,5.6%,5
902,15 de septiembre del 2019,Tomohiro Nakayama,Yū Saitō,Masahiro Kitazaki,Katsumi Tokoro,4.7%,5
903,22 de septiembre del 2019,Ryo Yamazaki,Sadaaki Honma,Shūichi Itō,Yusuke Suzuki,5.4%,3
904,29 de septiembre del 2019,Shinzō Fujita,Midori TanakaTongnian Chen,Masayuki Takagi,Masahiro Hosoda,5.7%,3
905,6 de octubre del 2019,Akiko Inoue,Guo Wei Huang,Masahiro Shimanuki,Tasuku Shimaya,5.0%,4
906,13 de octubre del 2019,Shōji Yonemura,Toshinori Īno,Shigefumi Shingaki,Yasunori Koyama,6.5%,2
907,20 de octubre del 2019,Shōji Yonemura,Ryūji Yoshiike,Eisaku InoueKimitaka Itō,Kōhei Kureta,4.6%,4
908,27 de octubre del 2019,Jin Tanaka,Guo Wei Huang,Toshio Deguchi,Yutaka Nakashima,5.3%,4
909,10 de noviembre del 2019,Tomohiro Nakayama,Midori Tanaka,Kenji Yokoyama,Aya Komaki,4.8%,7
910,17 de noviembre del 2019,Shinzō Fujita,Midori Tanaka,Kazuya Hisada,Satoshi Itō,5.4%,4
911,24 de noviembre del 2019,Ryo Yamazaki,Midori Tanaka,Masahiro Kitazaki,Daisuke Nakajima,5.1%,4
912,1 de diciembre del 2019,Akiko Inoue,Guo Wei Huang,Masayuki Takagi,Masahiro Hosoda,3.9%,7
913,8 de diciembre del 2019,Tomohiro Nakayama,Guo Wei HuangTongnian Chen,Eisaku Inoue,Yūsuke Suzuki,4.8%,5
914,15 de diciembre del 2019,Shinzō Fujita,Midori Tanaka,Masahiro ShimanukiKimitaka Itō,Yasunori Koyama,4.5%,5
915,22 de diciembre del 2019,Ryo Yamazaki,Guo Wei Huang,Shigefumi Shingaki,Katsumi Tokoro,4.9%,5
916,5 de enero del 2020,Shōji Yonemura,Tongnian Chen,Shūichi Itō,Yutaka Nakashima,4.6%,4
917,12 de enero del 2020,Jin Tanaka,Guo Wei Huang,Kenji Yokoyama,Aya Komaki,4.2%,5
918,19 de enero del 2020,Akiko Inoue,Yurino Doi,Kazuya Hisada,Masahiro Hosoda,3.6%,5
919,26 de enero del 2020,Atsuhiro Tomioka,Guo Wei Huang,Yūki MinagawaYūsuke IsōchiYukiko Nakatani,Satoshi Itō,4.2%,6
920,2 de febrero del 2020,Shinzō Fujita,Midori Tanaka,Keita SaitōToshio Deguchi,Yutaka Nakashima,4.2%,6
921,9 de febrero del 2020,Tomohiro Nakayama,Toshinori Īno,Masahiro Kitazaki,Yasunori Koyama,4.9%,4
922,16 de febrero del 2020,Ryo Yamazaki,Sadaaki Honma,Masayuki Takagi,Yūsuke Suzuki,4.8%,4
923,23 de febrero del 2020,Shōji Yonemura,Midori Tanaka,Masahiro Shimanuki,Katsumi Tokoro,4.7%,4
924,15 de marzo del 2020,Jin Tanaka,Guo Wei Huang,Eisaku InoueKimitaka Itō,Tasuku Shimaya,5.0%,6
925,22 de marzo del 2020,Akiko Inoue,Midori Tanaka,Kenji Yokoyama,Nanami Michibata,3.8%,6
926,29 de marzo del 2020,Shinzō Fujita,Yurino Doi,Shūichi Itō,Ryōsuke Tanaka,5.0%,7
927,5 de abril del 2020,Atsuhiro Tomioka,Sadaaki HonmaMinoru Ōnishi,Shigefumi ShingakiKeiichi Ichikawa,Satoshi Itō,5.3%,5
928,12 de abril del 2020,Tomohiro Nakayama,Sadaaki HonmaMinoru Ōnishi,Kazuya Hisada,Katsumi Tokoro,5.1%,6
929,19 de abril del 2020,Ryo Yamazaki,Tongnian Chen,Eisaku InoueKimitaka Itō,Yasunori Koyama,4.7%,6
930,28 de junio del 2020,Shōji Yonemura,Guo Wei Huang,Masahiro ShimanukiShūichi Itō,Yusuke Suzuki,4.4%,5
931,5 de julio del 2020,Akiko Inoue,Midori Tanaka,Yūsuke Isōchi,Yutaka Nakashima,3.9%,6
932,12 de julio del 2020,Jin Tanaka,Yurino Doi,Masayuki Takagi,Masahiro Hosoda,4.5%,5
933,19 de julio del 2020,Shinzō Fujita,Tongnian Chen,Toshio DeguchiMidori Matsuda,Aya Komaki,4.2%,4
934,26 de julio del 2020,Tomohiro Nakayama,Guo Wei Huang,Midori MatsudaKeita Saitō,Tatsuya Nagamine,4.2%,7
935,2 de agosto del 2020,Ryo Yamazaki,Midori Tanaka,Kenji Yokoyama,Kenichi Takeshita,3.9%,5
936,9 de agosto del 2020,Shōji Yonemura,Yurino Doi,Shigefumi Shingaki,Tasuku Shimaya,4.3%,4
937,16 de agosto del 2020,Akiko Inoue,Tongnian Chen,Kazuya Hisada,Satoshi Itō,4.9%,4
938,23 de agosto del 2020,Shinzō Fujita,Guo Wei Huang,Shūichi Itō,Yasunori Koyama,4.4%,5
939,30 de agosto del 2020,Jin Tanaka,Midori Tanaka,Masahiro Shimanuki,Yusuke Suzuki,4.4%,4
940,6 de septiembre del 2020,Tomohiro Nakayama,Toshinori Īno,Eisaku InoueKimitaka Itō,Yutaka Nakashima,4.4%,5
941,13 de septiembre del 2020,Ryo Yamazaki,Yurino Doi,Masayuki Takagi,Katsumi Tokoro,4.3%,5
942,20 de septiembre del 2020,Shōji Yonemura,Tongnian Chen,Toshio DeguchiKeita Saitō,Kōhei Kureta,4.7%,5
943,27 de septiembre de 2020,井上亜樹子 - Akiko Inoue小牧文 - Aya Komaki,黄国威 - Guo Wei Huang,新垣重文 - Shigefumi Shingaki,嶋谷将 - Tasuku Shimaya,,
944,4 de octubre de 2020,藤田伸三 - Shinzō Fujita,田中里緑 - Midori Tanaka,横山健次 - Kenji Yokoyama,細田雅弘 - Masahiro Hosoda,,
945,11 de octubre de 2020,田中仁 - Hitoshi Tanaka,飯野敏典 - Toshinori Īno,久田和也 - Kazuya Hisada,鈴木裕介 - Yusuke Suzuki,,
946,18 de octubre de 2020,Tomohiro Nakayama,,Yong-Ce Tu,Yutaka Nakashima,,
947,25 de octubre de 2020,Ryo Yamazaki,,Ippei Matsui y Kaon'nuri,Takuhito Satō(Guion gráfico por Akitaro Daichi),,
948,1 de noviembre de 2020,Shōji Yonemura,,Shūichi Itō,Yutaka Nakashima,,
949,8 de noviembre de 2020,冨岡淳広 - Atsuhiro Tomioka,,伊藤公崇 - Kimitaka Itō出口としお - Toshio Deguchi,竹下健一 - Kenichi Takeshita,,
950,15 de noviembre de 2020,井上亜樹子 - Akiko Inoue,,島貫正弘 - Masahiro Shimanuki,小山保徳 - Yasunori Koyama,,
951,22 de noviembre de 2020,Shinzō Fujita,Yurino Doi,Masayuki Takagi,Satoshi Itō,4.3,5
952,29 de noviembre de 2020,Hitoshi Tanaka,,Shigefumi Shingaki,Katsumi Tokoro,,
953,6 de diciembre de 2020,Tomohiro Nakayama,,Keita Saitō,Ryōsuke Tanaka(Guion gráfico por Yutaka Nakashima),,
954,13 de diciembre de 2020,Tomohiro Nakayama,,Kazuya Hisada,Kōhei Kureta,,
955,20 de diciembre de 2020,Shōji Yonemura,Toshinori Iino,Kenji Yokoyama,Tasuku Shimaya,4.3,7
956,27 de diciembre de 2020,Akiko Inoue,Yurino Doi,Midori Matsuda y Toshio Deguchi,Nanami Michibata,4.1,2
957,10 de enero de 2021,Shinzō Fujita,,Eisaku Inoue y Kimitaka Itō,Megumi Ishitani,,
958,17 de enero de 2021,田中仁 - Hitoshi Tanaka,国威 - Guo Wei Huang,Song HyeonjuHan Eunmi桝井一平 - Ippei Masui,竹内光 - Hikaru Takeuchi,,
959,24 de enero de 2021,中山智博 - Tomohiro Nakayama,田中里緑 - Midori Tanaka,伊藤修一 - Shūichi Itō,鈴木裕介 - Yusuke Suzuki,,
960,31 de enero de 2021,米村正二 - Shōji Yonemura,飯野敏典 - Toshinori Īno,高木雅之 - Masayuki Takagi,小牧文 - Aya Komaki,,
961,7 de febrero de 2021,Ryo Yamazaki,,Yūsuke Isōchi,Toshinori Fukuzawa,,
962,14 de febrero de 2021,Atsuhiro Tomioka,,Masahiro Shimanuki,Yasunori Koyama,,
963,21 de febrero de 2021,Akiko Inoue,,Shigefumi Shingaki y Yong-Ce Tu,Satoshi Itō,,
964,28 de febrero de 2021,Shinzō Fujita,,Toshio Deguchi y Keita Saitō,Yutaka Nakashima,,
965,7 de marzo de 2021,Hitoshi Tanaka,,Kazuya Hisada,Kenichi Takeshita,,
966,21 de marzo de 2021,Tomohiro Nakayama,,"Eisaku Inoue, Kimitaka Itō y Yong-Ce Tu",Tasuku Shimaya,,
967,28 de marzo de 2021,Shōji Yonemura,,Kenji Yokoyama,Masahiro Hosoda,,
968,4 de abril de 2021,Ryo Yamazaki,,Shūichi Itō,Katsumi Tokoro,,
969,11 de abril de 2021,Atsuhiro Tomioka,,"Ippei Matsui, Han Eunmi y Masahiro Kitazaki",Takaaki Ishiyama(Guion gráfico por Yutaka Nakashima),,
970,18 de abril de 2021,Akiko Inoue,,Masayuki Takagi,Yusuke Suzuki,,
971,25 de abril de 2021,Shinzō Fujita,Yurino Doi,Masahiro Shimanuki,Yasunori Koyama,4.2,4
972,2 de mayo de 2021,Hitoshi Tanaka,,Yong-Ce Tu,Ryōsuke Tanaka (Guion gráfico por Aya Komaki),,
973,9 de mayo de 2021,Tomohiro Nakayama,,Shigefumi Shingaki,Satoshi Itō,,
974,16 de mayo de 2021,Shōji Yonemura,Midori Tanaka,Keita Saitō y Toshio Deguchi,Yutaka Nakashima,4.0,4
975,23 de mayo de 2021,Ryo Yamazaki,,Kazuya Hisada,Katsumi Tokoro,,
976,30 de mayo de 2021,Atsuhiro Tomioka,,Eisaku Inoue y Kimitaka Itō,Tasuku Shimaya(Guion gráfico por Tasuku Shimaya y Yutaka Nakashima),,
977,6 de junio de 2021,Akiko Inoue,,Kenji Yokoyama,Masahiro Hosoda,,
978,13 de junio de 2021,Shinzō Fujita,,Shūichi Itō y Midori Matsuda,Kōhei Kureta,,
979,20 de junio de 2021,Hitoshi Tanaka,,Shinichi Suzuki y Song Hyeongji,Toshihiro Maeya (Guion gráfico por Toshinori Fukuzawa),,
980,27 de junio de 2021,Tomohiro Nakayama,,Masayuki Takagi y Eisaku Inoue,Kenichi Takeshita,,
981,4 de julio de 2021,Shōji Yonemura,,Masahiro Shimanuki y Shigenori Taniguchi,Yusuke Suzuki,,
982,11 de julio de 2021,Ryo Yamazaki,,Yong-Ce Tu y Keita Saitō,Megumi Ishitani,,
983,18 de julio de 2021,Atsuhiro Tomioka,,Toshio Deguchi y Shingo Fujisaki,Nanami Michibata(Guion gráfico por Yutaka Nakashima),,
984,25 de julio de 2021,Shōji Yonemura,,Shigefumi Shingaki,Yasunori Koyama,,
985,1 de agosto de 2021,藤田伸三 - Shinzō Fujita,陳烔年 - Tongnian Chen,久田和也 - Kazuya Hisada,所勝美 - Katsumi Tokoro,,
986,8 de agosto de 2021,Hitoshi Tanaka,,Majiro y LEE,Shigeyasu Yamauchi,,
987,15 de agosto de 2021,Tomohiro Nakayama,,Kenji Yokoyama,Yutaka Nakashima,,
988,22 de agosto de 2021,Shōji Yonemura,Midori Tanaka,Shūichi Itō,Tasuku Shimaya,4.1,4
989,29 de agosto de 2021,Ryo Yamazaki,,Kimitaka Itō,Kōhei Kureta,,
990,5 de septiembre de 2021,Atsuhiro Tomioka,,Masahiro Kitazaki y Yong-Ce Tu,Tatsuya Nagamine,,
991,12 de septiembre de 2021,Akiko Inoue,,Toshio Deguchi y Keita Saitō,Yusuke Suzuki(Guion gráfico por Shigeyasu Yamauchi),,
992,19 de septiembre de 2021,Shinzō Fujita,,Shinichi Suzuki,Toshihiro Maeya(Guion gráfico por Yutaka Nakashima y Aya Komaki),,
993,26 de septiembre de 2021,Hitoshi Tanaka,,Masayuki Takagi,Masahiro Hosoda,,
994,3 de octubre de 2021,Tomohiro Nakayama,,Masahiro Shimanuki,Yasunori Koyama,,
995,10 de octubre de 2021,Shōji Yonemura,,Shigefumi Shingaki,Satoshi Itō,,
996,24 de octubre de 2021,Ryo Yamazaki,,Kazuya Hisada,Yutaka Nakashima,,
997,31 de octubre de 2021,Akiko Inoue,,Kenji Yokoyama,Katsumi Tokoro,,
998,7 de noviembre de 2021,Shinzō Fujita,,Shūichi Itō,Kenichi Takeshita,,
999,14 de noviembre de 2021,Hitoshi Tanaka,,Kimitaka Itō y Toshio Deguchi,Yusuke Suzuki,,
1000,21 de noviembre de 2021,Shōji Yonemura,Tongnian Chen,"Yong-Ce Tu, Midori Matsuda y Keiichi Ichikawa",Kōhei Kureta,4.2,
1001,28 de noviembre de 2021,Tomohiro Nakayama,,Keita Saitō y Masahiro Kitazaki,Tasuku Shimaya,,
1002,5 de diciembre de 2021,Ryo Yamazaki,,Shinichi Suzuki,Toshihiro Maeya(Guion gráfico por Yutaka Nakashima),,
1003,12 de diciembre de 2021,Atsuhiro Tomioka,,Masayuki Takagi,"Nanami Michibata(Guion gráfico por Masahiro Hosoda, Nanami Michibata y Tatsuya Nagamine)",,
1004,19 de diciembre de 2021,Akiko Inoue,Tongnian Chen,Masahiro Shimanuki,Yasunori Koyama,3.7,7
1005,9 de enero de 2022,Shinzō Fujita,,Shigefumi Shingaki,Shō Inuzuka(Guion gráfico por Yutaka Nakashima),,
1006,16 de enero de 2022,Hitoshi Tanaka,,Kazuya Hisada,Ryōsuke Tanaka(Guion gráfico por Ryōsuke Tanaka y Tatsuya Nagamine),,
1007,23 de enero de 2022,Tomohiro Nakayama,,Kenji Yokoyama,Katsumi Tokoro,,
1008,30 de enero de 2022,Shōji Yonemura,,Shūichi Itō,Tasuku Shimaya(Guion gráfico por Yutaka Nakashima y Tasuku Shimaya),,
1009,6 de febrero de 2022,Ryo Yamazaki,,Toshio Deguchi y Kimitaka Itō,Yusuke Suzuki,,
1010,13 de febrero de 2022,Akiko Inoue,,Midori Matsuda y Kazuya Hisada,Kōhei Kureta,,
1011,20 de febrero de 2022,Shinzō Fujita,,"Keita Saitō, Masahiro Kitazaki y Shigenori Taniguchi",Masahiro Hosoda,,
1012,27 de febrero de 2022,Hitoshi Tanaka,,Shinichi Suzuki,Toshihiro Maeya(Guion gráfico por Yutaka Nakashima),,
1013,6 de marzo de 2022,Tomohiro Nakayama,,Masayuki Takagi,Ryōta Nakamura,,
1014,17 de abril de 2022,Shōji Yonemura,,Masahiro Shimanuki,Katsumi Tokoro,,
1015,24 de abril de 2022,Ryo Yamazaki,,Keisuke Mori y Kimitaka Itō,Megumi Ishitani,,
1016,8 de mayo de 2022,Atsuhiro Tomioka,,Shigefumi Shingaki,Yasunori Koyama(Guión gráfico por Yutaka Nakashima),,
1017,15 de mayo de 2022,Akiko Inoue,Toshinori Iino,Yong-Ce Tu,Kōhei Kureta y Nanami Michibata,3.4,4
1018,22 de mayo de 2022,Shinzō Fujita,,Kenji Yokoyama,Kenichi Takeshita,,
1019,29 de mayo de 2022,Hitoshi Tanaka,,Keita Saitō y Toshio Deguchi,Ryōsuke Tanaka,,
1020,5 de junio de 2022,Tomohiro Nakayama,,Kazuya Hisada,Tasuku Shimaya,,
1021,12 de junio de 2022,Atsuhiro Tomioka,,Shūichi Itō,Masahiro Hosoda,,
1022,19 de junio de 2022,Ryo Yamazaki,,Masayuki Takagi,Yusuke Suzuki (Guion gráfico por Yusuke Suzuki y Yutaka Nakashima),,
1023,3 de julio de 2022,Atsuhiro Tomioka,,Shinichi Suzuki,Toshihiro Maeya(Guion gráfico por Yutaka Nakashima),,
1024,10 de julio de 2022,Akiko Inoue,,Masahiro Shimanuki,Shō Inuzuka(Guion gráfico por Yutaka Nakashima),,
1025,17 de julio de 2022,Shinzō Fujita,,Shigefumi Shingaki,Katsumi Tokoro,,
1026,24 de julio de 2022,Hitoshi Tanaka,,"Masahiro Kitazaki, Kimitaka Itō, Yong-Ce Tu y Toshio Deguchi",Ryōta Nakamura,,
1027,31 de julio de 2022,Tomohiro Nakayama,,Midori Matsuda y Keita Saitō,Tatsuya Nagamine,,
1028,7 de agosto de 2022,米村正二 - Shōji Yonemura,黄国威 - Guo Wei Huang,久田和也 - Kazuya Hisada,小山保徳 - Yasunori Koyama,,
1029,14 de agosto del 2022,Akiko Inoue,Takafumi Mizuno,Shaolei LiTakuya ImakadoHuan GeSTUDIO MASSKET,Shigeyasu Yamauchi,3.5%,5
1030,21 de agosto del 2022,Ryo Yamazaki,Takafumi Mizuno,Kenji Yokoyama,Katsumi Tokoro,3.9%,4
1031,4 de septiembre de 2022,Ryo Yamazaki,,Shūichi Itō,Satoshi Itō,,
1032,11 de septiembre de 2022,Atsuhiro Tomioka,,Masayuki Takagi,Tasuku Shimaya(Guion gráfico por Yutaka Nakashima y Tasuku Shimaya),,
1033,18 de septiembre de 2022,Akiko Inoue,,"Masahiro Kitazaki, Kimitaka Itō y Yong-Ce Tu",Ryōsuke Tanaka,,
1034,25 de septiembre de 2022,Shinzō Fujita,,Masahiro Inuzuka y Satohiko Sano,Satohiko Sano,,
1035,2 de octubre de 2022,田中仁 - Hitoshi Tanaka,藤倉桃子 - Momoko Fujikura,島貫正弘 - Masahiro Shimanuki,犬塚翔 - Shō Inuzuka(Guion gráfico por Yutaka Nakashima),,
1036,16 de octubre de 2022,Tomohiro Nakayama,,Shigefumi Shingaki,Yusuke Suzuki,,
1037,23 de octubre de 2022,Shōji Yonemura,,Toshio Deguchi y Keita Saitō,Masahiro Hosoda,,
1038,30 de octubre de 2022,Ryo Yamazaki,,Kazuya Hisada,Nanami Michibata(Guion gráfico por Kōhei Kureta y Nanami Michibata),,
1039,6 de noviembre de 2022,Atsuhiro Tomioka,,Kenji Yokoyama,Kenichi Takeshita,,
1040,13 de noviembre de 2022,Akiko Inoue,,Shūichi Itō,Katsumi Tokoro,,
1041,20 de noviembre de 2022,Shinzō Fujita,,Masayuki Takagi,Tasuku Shimaya(Guion gráfico por Yutaka Nakashima y Tasuku Shimaya),,
1042,27 de noviembre de 2022,Hitoshi Tanaka,,"Shaolei Li, Takuya Imakado, Mami Kotoku y Zhenlei Cheng",Shigeyasu Yamauchi,,
1043,4 de diciembre de 2022,Tomohiro Nakayama,,Masahiro Kitazaki,Shō Matsui(Guion gráfico por Yutaka Nakashima),,
1044,11 de diciembre de 2022,Shōji Yonemura,,Masahiro Shimanuki y He Ziwei,Yasunori Koyama,,
1045,18 de diciembre de 2022,Atsuhiro Tomioka,,Shigefumi Shingaki y Keisuke Mori,Yūji Tokuno,,
1046,8 de enero de 2023,Shinzō Fujita,,Keita Saitō y Toshio Deguchi,Shō Inuzuka(Guion gráfico por Shō Inuzuka y Katsumi Ishizuka),,
1047,15 de enero de 2023,Hitoshi Tanaka,,Kazuya Hisada,Yutaka Nakashima,,
1048,22 de enero de 2023,Tomohiro Nakayama,,Kenji Yokoyama,Ryōsuke Tanaka,,
1049,29 de enero de 2023,Shōji Yonemura,,Shūichi Itō,Yusuke Suzuki,,
1050,5 de febrero de 2023,Ryo Yamazaki,,Masayuki Takagi,Masahiro Hosoda,,
1051,12 de febrero de 2023,Atsuhiro Tomioka,,Masahiro Kitazaki,Wataru Matsumi,,
1052,19 de febrero de 2023,Akiko Inoue,,Masahiro Shimanuki,Tasuku Shimaya,,
1053,26 de febrero de 2023,Shinzō Fujita,,Shigefumi Shingaki,Katsumi Tokoro,,
1054,19 de marzo de 2023,Hitoshi Tanaka,,"Keita Saitō, Toshio Deguchi y Keisuke Mori",Yūji Tokuno y Yasunori Koyama(Guion gráfico por Yutaka Nakashima),,
1055,26 de marzo de 2023,Tomohiro Nakayama,,Kazuya Hisada,Hazuki Omoya(Guion gráfico por Kenichi Takeshita y Hazuki Omoya),,
1056,2 de abril de 2023,Shōji Yonemura,,Masahiro Kitazaki y Kimitaka Itō,Shō Matsui(Guion gráfico por Yutaka Nakashima),,
1057,9 de abril de 2023,Ryo Yamazaki,,Kenji Yokoyama,Nanami Michibata(Guion gráfico por Nanami Michibata y Satoshi Itō),,
1058,16 de abril de 2023,Atsuhiro Tomioka,,Shūichi Itō,Shō Inuzuka,,
1059,23 de abril de 2023,Akiko Inoue,,Masayuki Takagi,Yusuke Suzuki,,
1060,30 de abril de 2023,Shinzō Fujita,,Midori Matsuda y Masahiro Shimanuki,Tasuku Shimaya(Guion gráfico por Tatsuya Nagamine y Wataru Matsumi),,
1061,7 de mayo de 2023,Hitoshi Tanaka,,Shigefumi Shingaki y Yong-Ce Tu,Ryōta Nakamura,,
1062,21 de mayo de 2023,Tomohiro Nakayama,,"Keita Saitō, Midori Matsuda y Katsumi Ishizuka",Ryōsuke Tanaka(Guion gráfico por Ryōsuke Tanaka y Katsumi Ishizuka),,
1063,28 de mayo de 2023,Shōji Yonemura,,Toshio DeguchiYong-Ce Tu(Asistente),Masahiro Hosoda,,
1064,4 de junio de 2023,Ryo Yamazaki,,Kazuya Hisada,Katsumi Tokoro,,
